,agency_id,line_id,number_of_trips_today,agency_popularity
707,7,10293,2,22
708,7,14451,2,22
709,7,29078,2,22
710,7,45092,2,22
711,7,40093,2,22
712,7,31095,2,22
713,7,42077,1,23
714,7,28079,1,23
715,7,23069,1,23
716,7,32098,1,23
717,7,34097,1,23
718,7,41096,1,23
719,7,47086,1,23
720,7,38094,1,23
721,8,11331,87,1
722,8,17026,37,2
723,8,16025,36,3
724,8,16027,27,4
725,8,17024,23,5
726,8,11358,14,6
727,8,11344,12,7
728,8,18122,8,8
729,8,12333,6,9
730,8,19031,6,9
731,8,11437,6,9
732,8,14288,6,9
733,8,19033,3,10
734,10,40022,9,1
735,10,45023,9,1
736,10,42024,8,2
737,14,12002,76,1
738,14,10271,69,2
739,14,26001,64,3
740,14,35003,63,4
741,14,53001,62,5
742,14,77003,61,6
743,14,89002,48,7
744,14,91003,48,7
745,14,41002,44,8
746,14,13311,42,9
747,14,42012,41,10
748,14,17066,40,11
749,14,88001,40,11
750,14,10307,40,11
751,14,46019,40,11
752,14,16065,40,11
753,14,42020,39,12
754,14,44017,38,13
755,14,10361,36,14
756,14,35004,31,15
757,14,89001,28,16
758,14,91004,26,17
759,14,11167,24,18
760,14,10981,24,18
761,14,11165,23,19
762,14,26006,22,20
763,14,37004,22,20
764,14,39018,22,20
765,14,29005,21,21
766,14,19302,20,22
767,14,33004,19,23
768,14,12993,19,23
769,14,45016,19,23
770,14,24007,18,24
771,14,10511,18,24
772,14,10306,18,24
773,14,39003,17,25
774,14,26012,16,26
775,14,10251,16,26
776,14,11166,16,26
777,14,11170,16,26
778,14,14978,16,26
779,14,23008,16,26
780,14,11994,16,26
781,14,17371,16,26
782,14,27111,16,26
783,14,21108,16,26
784,14,16045,15,27
785,14,10265,15,27
786,14,38010,15,27
787,14,38022,15,27
788,14,11522,14,28
789,14,10168,14,28
790,14,17126,14,28
791,14,17127,14,28
792,14,46073,14,28
793,14,20143,14,28
794,14,17047,13,29
795,14,25086,13,29
796,14,27091,13,29
797,14,13171,13,29
798,14,26052,13,29
799,14,18040,12,30
800,14,19035,12,30
801,14,22088,12,30
802,14,26063,12,30
803,14,25031,12,30
804,14,65005,12,30
805,14,14347,12,30
806,14,14322,12,30
807,14,16129,12,30
808,14,24112,12,30
809,14,17285,12,30
810,14,14002,11,31
811,14,23036,11,31
812,14,11992,11,31
813,14,22147,11,31
814,14,23022,10,32
815,14,18024,10,32
816,14,31087,10,32
817,14,25014,10,32
818,14,28054,10,32
819,14,11313,10,32
820,14,11068,9,33
821,14,10169,9,33
822,14,35064,9,33
823,14,16044,8,34
824,14,33082,8,34
825,14,25015,8,34
826,14,11061,8,34
827,14,15038,8,34
828,14,18041,8,34
829,14,18042,8,34
830,14,10985,8,34
831,14,31085,8,34
832,14,23089,8,34
833,14,29030,8,34
834,14,14979,8,34
835,14,17151,8,34
836,14,16157,8,34
837,14,17282,8,34
838,14,12312,8,34
839,14,12364,8,34
840,14,21148,8,34
841,14,45089,8,34
842,14,25007,7,35
843,14,21009,7,35
844,14,20028,7,35
845,14,26084,7,35
846,14,19094,7,35
847,14,10797,7,35
848,14,25092,7,35
849,14,21057,7,35
850,14,29074,7,35
851,14,11471,7,35
852,14,20023,6,36
853,14,17027,6,36
854,14,27086,6,36
855,14,29096,6,36
856,14,10367,6,36
857,14,20043,6,36
858,14,16046,6,36
859,14,10272,6,36
860,14,10980,6,36
861,14,21035,6,36
862,14,20040,6,36
863,14,22043,6,36
864,14,22058,6,36
865,14,23049,6,36
866,14,24060,6,36
867,14,10987,6,36
868,14,11564,6,36
869,14,11967,6,36
870,14,19139,6,36
871,14,29011,5,37
872,14,16041,5,37
873,14,35082,5,37
874,14,14003,5,37
875,14,21081,5,37
876,14,18088,5,37
877,14,16098,5,37
878,14,10255,5,37
879,14,10984,5,37
880,14,17036,5,37
881,14,26056,5,37
882,14,12464,5,37
883,14,22010,4,38
884,14,17042,4,38
885,14,17045,4,38
886,14,30083,4,38
887,14,26008,4,38
888,14,15001,4,38
889,14,11064,4,38
890,14,17096,4,38
891,14,10982,4,38
892,14,16037,4,38
893,14,19034,4,38
894,14,18061,4,38
895,14,24090,4,38
896,14,30055,4,38
897,14,23037,4,38
898,14,23050,4,38
899,14,11991,4,38
900,14,12983,4,38
901,14,16300,4,38
902,14,11305,4,38
903,14,19043,3,39
904,14,22075,3,39
905,14,10048,3,39
906,14,21093,3,39
907,14,16095,3,39
908,14,22070,3,39
909,14,30077,3,39
910,14,14039,2,40
911,14,18076,2,40
912,14,30087,2,40
913,14,11294,2,40
914,14,11295,2,40
915,14,22087,2,40
916,14,11173,2,40
917,14,15039,2,40
918,14,18044,2,40
919,14,19099,2,40
920,14,26053,2,40
921,14,33092,2,40
922,14,10988,2,40
923,14,11989,2,40
924,14,11990,2,40
925,14,10977,2,40
926,14,24084,1,41
927,14,25013,1,41
928,14,10281,1,41
929,14,10296,1,41
930,14,14062,1,41
931,14,22080,1,41
932,14,11172,1,41
933,14,19062,1,41
934,14,18064,1,41
935,14,24029,1,41
936,15,19029,105,1
937,15,11501,95,2
938,15,10567,85,3
939,15,10605,77,4
940,15,19047,68,5
941,15,11126,68,5
942,15,20048,67,6
943,15,16024,66,7
944,15,14026,60,8
945,15,11380,59,9
946,15,42003,55,10
947,15,10369,53,11
948,15,10561,52,12
949,15,12149,52,12
950,15,83005,52,12
951,15,23012,50,13
952,15,22006,50,13
953,15,10601,47,14
954,15,11370,47,14
955,15,10388,45,15
956,15,73008,42,16
957,15,57001,40,17
958,15,35011,40,17
959,15,25002,40,17
960,15,77015,40,17
961,15,52014,39,18
962,15,64009,39,18
963,15,10613,36,19
964,15,10531,36,19
965,15,59021,36,19
966,15,61001,34,20
967,15,36035,33,21
968,15,46002,32,22
969,15,19024,32,22
970,15,47002,30,23
971,15,40004,30,23
972,15,31012,30,23
973,15,27010,30,23
974,15,50009,30,23
975,15,78003,30,23
976,15,48019,29,24
977,15,25090,27,25
978,15,28013,27,25
979,15,46022,26,26
980,15,20150,26,26
981,15,18027,25,27
982,15,13608,25,27
983,15,12278,25,27
984,15,11669,23,28
985,15,36077,23,28
986,15,10575,22,29
987,15,27013,22,29
988,15,28008,22,29
989,15,43012,22,29
990,15,48002,21,30
991,15,10565,20,31
992,15,60001,20,31
993,15,10525,19,32
994,15,45002,19,32
995,15,10617,19,32
996,15,15342,19,32
997,15,10606,18,33
998,15,24020,18,33
999,15,21030,18,33
1000,15,19050,18,33
1001,15,24070,18,33
1002,15,20062,18,33
1003,15,11249,18,33
1004,15,12348,18,33
1005,15,26042,18,33
1006,15,10524,17,34
1007,15,22064,16,35
1008,15,44011,16,35
1009,15,10551,15,36
1010,15,11367,15,36
1011,15,22400,15,36
1012,15,17037,14,37
1013,15,10347,14,37
1014,15,29025,14,37
1015,15,27037,14,37
1016,15,56001,13,38
1017,15,43003,13,38
1018,15,24016,13,38
1019,15,10559,13,38
1020,15,32026,13,38
1021,15,12145,13,38
1022,15,10610,12,39
1023,15,24017,12,39
1024,15,77005,12,39
1025,15,14170,12,39
1026,15,45033,12,39
1027,15,27021,12,39
1028,15,11609,12,39
1029,15,29006,11,40
1030,15,22028,11,40
1031,15,10614,11,40
1032,15,26010,10,41
1033,15,17148,10,41
1034,15,23151,10,41
1035,15,27222,10,41
1036,15,19066,9,42
1037,15,13371,9,42
1038,15,12123,9,42
1039,15,14124,9,42
1040,15,19044,8,43
1041,15,10353,8,43
1042,15,10358,8,43
1043,15,23047,8,43
1044,15,10377,8,43
1045,15,10373,8,43
1046,15,17113,8,43
1047,15,12386,7,44
1048,15,10458,7,44
1049,15,16067,7,44
1050,15,10612,7,44
1051,15,21019,6,45
1052,15,21045,6,45
1053,15,39080,6,45
1054,15,10378,6,45
1055,15,35021,6,45
1056,15,23060,6,45
1057,15,15213,6,45
1058,15,72015,6,45
1059,15,42004,5,46
1060,15,16059,5,46
1061,15,11118,5,46
1062,15,20140,5,46
1063,15,19142,5,46
1064,15,12619,5,46
1065,15,20026,4,47
